workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
445.gobmk,4.0,1.000004472651872,1.0,1.0,1.0
445.gobmk,5.0,1.000004472651872,1.0,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0,1.0,1.0
447.dealII,3.0,1.0,1.0,1.0,1.0
447.dealII,4.0,1.0,1.0,1.0,1.0
447.dealII,5.0,1.0,1.0,1.0,1.0
450.soplex,1.0,0.8197574018867426,0.881446605445293,0.9914774678271489,1.0
450.soplex,2.0,0.9349376703038177,0.9721039028121193,1.0005522813826324,1.0
450.soplex,3.0,0.9547102259782105,0.9890059608426953,1.0,1.0
450.soplex,4.0,0.9563664226541518,0.9916671558570413,1.0,1.0
450.soplex,5.0,0.9724382581810338,0.9890773473436608,0.9997617304798536,1.0
456.hmmer,1.0,0.911482296373371,1.0,1.0,1.0
456.hmmer,2.0,0.9922478020855633,1.0,1.0,1.0
456.hmmer,3.0,0.9912964366389737,1.0,1.0,1.0
456.hmmer,4.0,0.9929096378927956,1.0,1.0,1.0
456.hmmer,5.0,0.9892136083754748,1.0,1.0,1.0
458.sjeng,1.0,1.0,1.0,1.0,1.0
458.sjeng,2.0,1.0,1.0,1.0,1.0
458.sjeng,3.0,1.0,1.0,1.0,1.0
458.sjeng,4.0,1.0,1.0,1.0,1.0
458.sjeng,5.0,1.0,1.0,1.0,1.0
459.GemsFDTD,1.0,0.8129828204680078,0.999959239515791,1.0,1.0
459.GemsFDTD,2.0,0.989261215645951,1.0,1.0,1.0
459.GemsFDTD,3.0,0.9901631396120015,1.0,1.0,1.0
459.GemsFDTD,4.0,0.9906219786214885,1.0,1.0,1.0
459.GemsFDTD,5.0,0.9907976066887278,1.0,1.0,1.0
462.libquantum,1.0,0.8825506449055811,0.9444162621835668,1.0,1.0
462.libquantum,2.0,0.9639164503299915,0.9941429908435382,1.0,1.0
462.libquantum,3.0,0.9745884832755454,0.9958984832514166,1.0,1.0
462.libquantum,4.0,0.9750102902752982,0.9965617874792144,1.0,1.0
462.libquantum,5.0,0.9754719884910195,0.9965297331060072,1.0,1.0
464.h264ref,1.0,0.9996361795742477,1.0,1.0,1.0
464.h264ref,2.0,0.9995872167520236,1.0,1.0,1.0
464.h264ref,3.0,0.9995953625219497,1.0,1.0,1.0
464.h264ref,4.0,0.9996993208242864,1.0,1.0,1.0
464.h264ref,5.0,0.999748356113877,1.0,1.0,1.0
470.lbm,1.0,0.7775771377777526,0.7519729588602275,0.9998778013384466,1.0
470.lbm,2.0,0.9631741784693327,0.9913665990642186,1.0,1.0
470.lbm,3.0,0.966529443526099,0.99270259027464,1.0,1.0
470.lbm,4.0,0.9670954513152602,0.993016854232382,1.0,1.0
470.lbm,5.0,0.9673172768959848,0.9935685989336612,1.0,1.0
471.omnetpp,1.0,0.8992275878890399,0.9228671577354146,0.982755293644472,1.0
471.omnetpp,2.0,0.9295218950321118,0.9606067577925841,0.9975880123396017,1.0
471.omnetpp,3.0,0.9565423559455541,0.9693058791108999,0.9855542622801748,1.0
471.omnetpp,4.0,0.9466469651955695,0.9811974402646433,0.9982340117327504,1.0
471.omnetpp,5.0,0.941384896701211,0.9860899965720739,0.9964149941663064,1.0
473.astar,1.0,0.9990036868054225,1.0,1.0,1.0
473.astar,2.0,0.9990783998289531,1.0,1.0,1.0
473.astar,3.0,0.9991759353835795,1.0,1.0,1.0
473.astar,4.0,0.9990370521187565,1.0,1.0,1.0
