workload,PRAC_level,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
jp2_decode,4.0,0.9902745733402118,1.0,1.0,1.0
jp2_encode,1.0,0.9924887137487473,1.0,1.0,1.0
jp2_encode,2.0,0.9972341164940808,1.0,1.0,1.0
jp2_encode,4.0,0.9954493657222117,1.0,1.0,1.0
tpcc64,1.0,0.9939406595295585,1.0,1.0,1.0
tpcc64,2.0,0.9947138168754676,1.0,1.0,1.0
tpcc64,4.0,0.9941079163409441,1.0,1.0,1.0
tpch17,1.0,0.9940285328442571,1.0,1.0,1.0
tpch17,2.0,0.9911080627344084,1.0,1.0,1.0
tpch17,4.0,0.995381664035838,1.0,1.0,1.0
tpch2,1.0,0.9921626095607111,1.0,1.0,1.0
tpch2,2.0,0.9946567312407172,1.0,1.0,1.0
tpch2,4.0,0.9929092661491935,1.0,1.0,1.0
tpch6,1.0,0.998823101177983,1.0,1.0,1.0
tpch6,2.0,0.9981829974943206,1.0,1.0,1.0
tpch6,4.0,0.9973086790842884,1.0,1.0,1.0
wc_8443,1.0,0.9999626910675827,1.0,1.0,1.0
wc_8443,2.0,0.999898297801848,1.0,1.0,1.0
wc_8443,4.0,0.9999753920159522,1.0,1.0,1.0
wc_map0,1.0,0.9998510636344694,1.0,1.0,1.0
wc_map0,2.0,0.9997979022741684,1.0,1.0,1.0
wc_map0,4.0,0.9998075330697278,1.0,1.0,1.0
ycsb_abgsave,1.0,0.9977642281362008,1.0,1.0,1.0
ycsb_abgsave,2.0,0.99733829856965,1.0,1.0,1.0
ycsb_abgsave,4.0,0.9973480115427314,1.0,1.0,1.0
ycsb_aserver,1.0,0.9985160242552433,1.0,1.0,1.0
ycsb_aserver,2.0,0.9980561608808243,1.0,1.0,1.0
ycsb_aserver,4.0,0.9976447764998643,1.0,1.0,1.0
ycsb_bserver,1.0,0.9988257299109039,1.0,1.0,1.0
ycsb_bserver,2.0,0.997615865925078,1.0,1.0,1.0
ycsb_bserver,4.0,0.9979010074114527,1.0,1.0,1.0
ycsb_cserver,1.0,0.9992426270601292,1.0,1.0,1.0
ycsb_cserver,2.0,0.9995643037666719,1.0,1.0,1.0
ycsb_cserver,4.0,0.998868926288062,1.0,1.0,1.0
ycsb_dserver,1.0,0.998666749405586,1.0,1.0,1.0
ycsb_dserver,2.0,0.9990877339901424,1.0,1.0,1.0
ycsb_dserver,4.0,0.9980659986649194,1.0,1.0,1.0
ycsb_eserver,1.0,0.9984353784314748,1.0,1.0,1.0
ycsb_eserver,2.0,0.9989951435071347,1.0,1.0,1.0
ycsb_eserver,4.0,0.9992457683461438,1.0,1.0,1.0
SPEC2K6 (23),1.0,0.9870387413326337,1.0,1.0,1.0
SPEC2K17 (18),1.0,0.9943970233412337,1.0,1.0,1.0
TPC (4),1.0,0.9947356563439773,1.0,1.0,1.0
Hadoop (3),1.0,0.9999522612405363,1.0,1.0,1.0
MediaBench (3),1.0,0.9941942383678997,1.0,1.0,1.0
YCSB (6),1.0,0.9985750229340987,1.0,1.0,1.0
SPEC2K6 (23),2.0,0.9867574507569475,1.0,1.0,1.0
SPEC2K17 (18),2.0,0.9949181823106878,1.0,1.0,1.0
TPC (4),2.0,0.9946622563451412,1.0,1.0,1.0
Hadoop (3),2.0,0.9997603624898399,1.0,1.0,1.0
MediaBench (3),2.0,0.9959002803793502,1.0,1.0,1.0
YCSB (6),2.0,0.9984425812399458,1.0,1.0,1.0
SPEC2K6 (23),4.0,0.9851517306931671,1.0,1.0,1.0
SPEC2K17 (18),4.0,0.9939164418830598,1.0,1.0,1.0
TPC (4),4.0,0.9949255473805537,1.0,1.0,1.0
Hadoop (3),4.0,0.9997058699611219,1.0,1.0,1.0
MediaBench (3),4.0,0.9952333807486051,1.0,1.0,1.0
YCSB (6),4.0,0.9981788577640205,1.0,1.0,1.0
All (57),1.0,0.9924144007637387,1.0,1.0,1.0
All (57),2.0,0.9925389740003202,1.0,1.0,1.0
All (57),4.0,0.9915681859743146,1.0,1.0,1.0
