workload,NBO,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
jp2_decode,16.0,0.9668714413228646,1.0,1.0,1.0
jp2_decode,32.0,0.9901207201665108,1.0,1.0,1.0
jp2_decode,64.0,1.0001779964996627,1.0,1.0,1.0
jp2_decode,128.0,1.0,1.0,1.0,1.0
jp2_encode,16.0,0.9804334793136962,1.0,1.0,1.0
jp2_encode,32.0,0.9924887137487473,1.0,1.0,1.0
jp2_encode,64.0,1.0014338375362377,1.0,1.0,1.0
jp2_encode,128.0,1.0,1.0,1.0,1.0
tpcc64,16.0,0.9823186137914074,1.0,1.0,1.0
tpcc64,32.0,0.9939406595295585,1.0,1.0,1.0
tpcc64,64.0,0.9979508484374637,1.0,1.0,1.0
tpcc64,128.0,0.9992682946970399,1.0,1.0,1.0
tpch17,16.0,0.9764850354149265,1.0,1.0,1.0
tpch17,32.0,0.9940285328442571,1.0,1.0,1.0
tpch17,64.0,0.9979480785939553,1.0,1.0,1.0
tpch17,128.0,0.997574459921665,1.0,1.0,1.0
tpch2,16.0,0.9731713201656729,1.0,1.0,1.0
tpch2,32.0,0.9921626095607111,1.0,1.0,1.0
tpch2,64.0,0.9981156299221833,1.0,1.0,1.0
tpch2,128.0,0.9984112278230459,1.0,1.0,1.0
tpch6,16.0,0.9858439956735996,1.0,1.0,1.0
tpch6,32.0,0.998823101177983,1.0,1.0,1.0
tpch6,64.0,0.9995145144394325,1.0,1.0,1.0
tpch6,128.0,1.0,1.0,1.0,1.0
wc_8443,16.0,0.998641527496028,1.0,1.0,1.0
wc_8443,32.0,0.9999626910675827,1.0,1.0,1.0
wc_8443,64.0,1.0004080811173561,1.0,1.0,1.0
wc_8443,128.0,1.0000075192526112,1.0,1.0,1.0
wc_map0,16.0,0.9981303586367047,1.0,1.0,1.0
wc_map0,32.0,0.9998510636344694,1.0,1.0,1.0
wc_map0,64.0,0.9995909300143543,1.0,1.0,1.0
wc_map0,128.0,1.0004867041343843,1.0,1.0,1.0
ycsb_abgsave,16.0,0.9939597985292413,1.0,1.0,1.0
ycsb_abgsave,32.0,0.9977642281362008,1.0,1.0,1.0
ycsb_abgsave,64.0,0.999700659856137,1.0,1.0,1.0
ycsb_abgsave,128.0,0.9999304124210093,1.0,1.0,1.0
ycsb_aserver,16.0,0.9956366703287557,1.0,1.0,1.0
ycsb_aserver,32.0,0.9985160242552433,1.0,1.0,1.0
ycsb_aserver,64.0,0.999291972665865,1.0,1.0,1.0
ycsb_aserver,128.0,0.9995242344440026,1.0,1.0,1.0
ycsb_bserver,16.0,0.996393588958393,1.0,1.0,1.0
ycsb_bserver,32.0,0.9988257299109039,1.0,1.0,1.0
ycsb_bserver,64.0,0.9994863401793691,1.0,1.0,1.0
ycsb_bserver,128.0,0.9993873046591389,1.0,1.0,1.0
ycsb_cserver,16.0,0.9971016175411953,1.0,1.0,1.0
ycsb_cserver,32.0,0.9992426270601292,1.0,1.0,1.0
ycsb_cserver,64.0,0.9989187038865817,1.0,1.0,1.0
ycsb_cserver,128.0,0.9993765497754667,1.0,1.0,1.0
ycsb_dserver,16.0,0.9938686969878257,1.0,1.0,1.0
ycsb_dserver,32.0,0.998666749405586,1.0,1.0,1.0
ycsb_dserver,64.0,0.9986404037759777,1.0,1.0,1.0
ycsb_dserver,128.0,0.9990616307516057,1.0,1.0,1.0
ycsb_eserver,16.0,0.9930017494832013,1.0,1.0,1.0
ycsb_eserver,32.0,0.9984353784314748,1.0,1.0,1.0
ycsb_eserver,64.0,0.999879327714224,1.0,1.0,1.0
ycsb_eserver,128.0,1.0002338762456402,1.0,1.0,1.0
SPEC2K6 (23),16.0,0.9630811884847987,0.9974311475664912,0.9965391086987362,0.9942814078880843
SPEC2K17 (18),16.0,0.9824955918932369,1.000005106482431,1.000005106482431,0.9999934874540803
TPC (4),16.0,0.9794423211912714,1.0,1.0,1.0
Hadoop (3),16.0,0.9987240939892348,1.0,1.0,1.0
MediaBench (3),16.0,0.9823410404872158,1.0,1.0,1.0
YCSB (6),16.0,0.9949925883397218,1.0,1.0,1.0
SPEC2K6 (23),32.0,0.9870387413326337,1.0,1.0,1.0
SPEC2K17 (18),32.0,0.9943970233412337,1.0,1.0,1.0
TPC (4),32.0,0.9947356563439773,1.0,1.0,1.0
Hadoop (3),32.0,0.9999522612405363,1.0,1.0,1.0
MediaBench (3),32.0,0.9941942383678997,1.0,1.0,1.0
YCSB (6),32.0,0.9985750229340987,1.0,1.0,1.0
SPEC2K6 (23),64.0,0.9951771043875018,1.0,1.0,1.0
SPEC2K17 (18),64.0,0.9987930668393934,1.0,1.0,1.0
TPC (4),64.0,0.9983820516393026,1.0,1.0,1.0
Hadoop (3),64.0,0.9999603422375822,1.0,1.0,1.0
MediaBench (3),64.0,1.000537074583906,1.0,1.0,1.0
YCSB (6),64.0,0.9993194755177918,1.0,1.0,1.0
SPEC2K6 (23),128.0,0.9984106312742371,1.0,1.0,1.0
SPEC2K17 (18),128.0,0.9998208890068996,1.0,1.0,1.0
TPC (4),128.0,0.9988130811435957,1.0,1.0,1.0
Hadoop (3),128.0,1.0001647152162902,1.0,1.0,1.0
MediaBench (3),128.0,1.0,1.0,1.0,1.0
YCSB (6),128.0,0.999585592985978,1.0,1.0,1.0
All (57),16.0,0.9771892081925353,0.9990221488940645,0.9986816882449033,0.9978156609016741
All (57),32.0,0.9924144007637387,1.0,1.0,1.0
All (57),64.0,0.9976242931699936,1.0,1.0,1.0
All (57),128.0,0.9992104805473684,1.0,1.0,1.0
