workload,PRAC_level,QPRAC,QPRAC+Proactive,QPRAC-Ideal
523.xalancbmk,2.0,0.9931748578675323,1.0,1.0
523.xalancbmk,4.0,0.9925107432996433,1.0,1.0
525.x264,1.0,1.0,1.0,1.0
525.x264,2.0,1.0,1.0,1.0
525.x264,4.0,1.0,1.0,1.0
526.blender,1.0,1.0,1.0,1.0
526.blender,2.0,1.0,1.0,1.0
526.blender,4.0,1.0,1.0,1.0
531.deepsjeng,1.0,1.0,1.0,1.0
531.deepsjeng,2.0,1.0,1.0,1.0
531.deepsjeng,4.0,1.0,1.0,1.0
538.imagick,1.0,1.0,1.0,1.0
538.imagick,2.0,1.0,1.0,1.0
538.imagick,4.0,1.0,1.0,1.0
541.leela,1.0,1.0,1.0,1.0
541.leela,2.0,1.0,1.0,1.0
541.leela,4.0,1.0,1.0,1.0
544.nab,1.0,0.9999175071582699,1.0,1.0
544.nab,2.0,1.0001418690423258,1.0,1.0
544.nab,4.0,0.999986057890414,1.0,1.0
549.fotonik3d,1.0,0.9923351586256454,1.0,1.0
549.fotonik3d,2.0,0.9920120457002034,1.0,1.0
549.fotonik3d,4.0,0.9896112819840113,1.0,1.0
557.xz,1.0,0.9934794280635295,1.0,1.0
557.xz,2.0,0.9939614472723535,1.0,1.0
557.xz,4.0,0.9912553615262385,1.0,1.0
grep_map0,1.0,0.9991651261567396,1.0,1.0
grep_map0,2.0,1.0003643846443682,1.0,1.0
grep_map0,4.0,1.0001779975180143,1.0,1.0
h264_encode,1.0,1.0,1.0,1.0
h264_encode,2.0,1.0,1.0,1.0
h264_encode,4.0,1.0,1.0,1.0
jp2_decode,1.0,0.9806200521200932,1.0,1.0
jp2_decode,2.0,0.9774759687364494,1.0,1.0
jp2_decode,4.0,0.9714571691615989,1.0,1.0
jp2_encode,1.0,0.9801643093007854,1.0,1.0
jp2_encode,2.0,0.9756865894170614,1.0,1.0
jp2_encode,4.0,0.9665985090410198,1.0,1.0
tpcc64,1.0,0.9967914103235456,1.0,1.0
tpcc64,2.0,0.9959937579957543,1.0,1.0
tpcc64,4.0,0.9932045215416061,1.0,1.0
tpch17,1.0,1.00005422965456,1.0,1.0
tpch17,2.0,0.9928796375485713,1.0,1.0
tpch17,4.0,0.9942586829219366,1.0,1.0
tpch2,1.0,0.9993030456258799,1.0,1.0
tpch2,2.0,0.9993265643002949,1.0,1.0
tpch2,4.0,0.9978801194259705,1.0,1.0
tpch6,1.0,0.9978161566288548,1.0,1.0
tpch6,2.0,0.9986698710929879,1.0,1.0
tpch6,4.0,0.9982696425696106,1.0,1.0
wc_8443,1.0,0.9993959311774817,1.0,1.0
wc_8443,2.0,0.9996860505560341,1.0,1.0
wc_8443,4.0,0.9987261809724424,1.0,1.0
wc_map0,1.0,0.9994045363090921,1.0,1.0
wc_map0,2.0,1.0000096061598454,1.0,1.0
wc_map0,4.0,0.9996415506385461,1.0,1.0
ycsb_abgsave,1.0,0.9950136160756883,1.0,1.0
ycsb_abgsave,2.0,0.9923848517444653,1.0,1.0
ycsb_abgsave,4.0,0.9888942204364924,1.0,1.0
ycsb_aserver,1.0,0.9972913075590113,1.0,1.0
ycsb_aserver,2.0,0.99694816400272,1.0,1.0
ycsb_aserver,4.0,0.9966902621292317,1.0,1.0
ycsb_bserver,1.0,0.9989469662736816,1.0,1.0
ycsb_bserver,2.0,0.9988500691776314,1.0,1.0
ycsb_bserver,4.0,0.9987937191202255,1.0,1.0
ycsb_cserver,1.0,0.9989396277126924,1.0,1.0
ycsb_cserver,2.0,0.999164242555811,1.0,1.0
ycsb_cserver,4.0,0.9988519874298135,1.0,1.0
ycsb_dserver,1.0,0.9974555659528024,1.0,1.0
ycsb_dserver,2.0,0.9984569927044367,1.0,1.0
ycsb_dserver,4.0,0.9991439103171973,1.0,1.0
ycsb_eserver,1.0,0.9987370326971232,1.0,1.0
ycsb_eserver,2.0,0.9983013939069878,1.0,1.0
ycsb_eserver,4.0,0.9985752338564987,1.0,1.0
SPEC2K6 (23),1.0,0.9845155135893863,1.0,1.0
SPEC2K17 (18),1.0,0.9932273175616687,1.0,1.0
TPC (4),1.0,0.9984904033770722,1.0,1.0
Hadoop (3),1.0,0.9993218583953773,1.0,1.0
MediaBench (3),1.0,0.9868850076048632,1.0,1.0
YCSB (6),1.0,0.9977297159053676,1.0,1.0
SPEC2K6 (23),2.0,0.9828040607035733,1.0,1.0
SPEC2K17 (18),2.0,0.9927277017376853,1.0,1.0
TPC (4),2.0,0.9967142104171448,1.0,1.0
Hadoop (3),2.0,1.0000199754160737,1.0,1.0
MediaBench (3),2.0,0.9843256635502545,1.0,1.0
YCSB (6),2.0,0.9973482317335405,1.0,1.0
SPEC2K6 (23),4.0,0.9814800379624681,1.0,1.0
SPEC2K17 (18),4.0,0.9915461147567404,1.0,1.0
TPC (4),4.0,0.9959007943784189,1.0,1.0
Hadoop (3),4.0,0.9995150632977985,1.0,1.0
MediaBench (3),4.0,0.9792417608845856,1.0,1.0
YCSB (6),4.0,0.9968182299568915,1.0,1.0
All (57),1.0,0.990794412633153,1.0,1.0
All (57),2.0,0.9896864463155993,1.0,1.0
All (57),4.0,0.9883439208668839,1.0,1.0
